id,title,description,link,image_link,price,availability,condition,brand
refletor-super-led-400w-verunto,Kit 2 Refletor Super Led 400W IP67 Holofote Bivolt à Prova d'Água Branco Frio 6500K,"Compradores destacam a instalação simples e a intensidade da luz — vários relatam que a iluminação é forte mesmo durante o dia e ideal para iluminar quintais, corredores e fachadas.",https://destakalex.github.io/ofertas-mercadolivre/produtos/refletor-super-led-400w-verunto.html,https://http2.mlstatic.com/D_NQ_NP_796645-MLA114606438692_082026-G.jpg,35.02 BRL,in stock,new,VERUNTO
poco-x8-pro-max-512gb-12gb-ram-global-bateria-8-500mah,Poco X8 Pro Max 512gb 12gb Ram Global Bateria 8.500mah,"Um dos produtos mais vendidos da categoria no Mercado Livre, com nota 4.9/5 e +1000 vendidos.",https://destakalex.github.io/ofertas-mercadolivre/produtos/poco-x8-pro-max-512gb-12gb-ram-global-bateria-8-500mah.html,https://http2.mlstatic.com/D_Q_NP_2X_884384-MLA115066107193_072026-AB.webp,3393 BRL,in stock,new,
kit-lavagem-shampoo-cera-tok-final-intense-sintra-fast-vonix,Kit Lavagem Shampoo Cera Tok Final Intense Sintra Fast Vonix,"Um dos produtos mais vendidos da categoria no Mercado Livre, com nota 4.9/5 e +50mil vendidos.",https://destakalex.github.io/ofertas-mercadolivre/produtos/kit-lavagem-shampoo-cera-tok-final-intense-sintra-fast-vonix.html,https://http2.mlstatic.com/D_Q_NP_2X_659633-MLA117032776949_092026-AB.webp,166 BRL,in stock,new,
kit-natura-tododia-ameixa-e-flor-hidratante-body-splash,Kit Natura Tododia Ameixa E Flor Hidratante + Body Splash,"Um dos produtos mais vendidos da categoria no Mercado Livre, com nota 4.9/5 e +100 vendidos.",https://destakalex.github.io/ofertas-mercadolivre/produtos/kit-natura-tododia-ameixa-e-flor-hidratante-body-splash.html,https://http2.mlstatic.com/D_Q_NP_2X_742587-MLB85597790591_062025-AB.webp,98 BRL,in stock,new,
cabeceira-queen-160cm-cama-box-kit-8-modulos-adesivo-dubai,Cabeceira Queen 160cm Cama Box Kit 8 Módulos Adesivo Dubai,"Um dos produtos mais vendidos da categoria no Mercado Livre, com nota 4.7/5 e +10mil vendidos.",https://destakalex.github.io/ofertas-mercadolivre/produtos/cabeceira-queen-160cm-cama-box-kit-8-modulos-adesivo-dubai.html,https://http2.mlstatic.com/D_Q_NP_2X_828771-MLB115353170222_082026-AB-cabeceira-queen-160cm-cama-box-kit-8-modulos-adesivo-dubai.webp,39 BRL,in stock,new,
monitor-aoc-22-120hz-1ms-gaming-hdmi-22b35hm23-preto,"Monitor AOC 22"" 120Hz 1ms Gaming HDMI 22B35HM23 Preto","Um dos produtos mais vendidos da categoria no Mercado Livre, com nota 4.9/5 e +10mil vendidos.",https://destakalex.github.io/ofertas-mercadolivre/produtos/monitor-aoc-22-120hz-1ms-gaming-hdmi-22b35hm23-preto.html,https://http2.mlstatic.com/D_Q_NP_2X_744601-MLA99934274785_112025-AB.webp,427 BRL,in stock,new,
manta-asfaltica-auto-adesiva-aluminizada-45-cm-x-10-m-dryko,Manta Asfáltica Auto Adesiva Aluminizada 45 Cm X 10 M Dryko,"Um dos produtos mais vendidos da categoria no Mercado Livre, com nota 4.8/5 e +50mil vendidos.",https://destakalex.github.io/ofertas-mercadolivre/produtos/manta-asfaltica-auto-adesiva-aluminizada-45-cm-x-10-m-dryko.html,https://http2.mlstatic.com/D_Q_NP_2X_907240-MLA99489575120_112025-AB.webp,53 BRL,in stock,new,
creme-hidratante-floratta-rose-sucree-200g-o-boticario-flora,Creme Hidratante Floratta Rose Sucrée 200g O Boticário Floral,"Um dos produtos mais vendidos da categoria no Mercado Livre, com nota 4.9/5 e +1000 vendidos.",https://destakalex.github.io/ofertas-mercadolivre/produtos/creme-hidratante-floratta-rose-sucree-200g-o-boticario-flora.html,https://http2.mlstatic.com/D_Q_NP_2X_602321-MLA109272280308_042026-AB.webp,73 BRL,in stock,new,
blusa-regata-feminino-decote-quadrado-alca-grossa-casual,Blusa Regata Feminino Decote Quadrado Alça Grossa Casual,"Um dos produtos mais vendidos da categoria no Mercado Livre, com nota 4.8/5 e +50mil vendidos.",https://destakalex.github.io/ofertas-mercadolivre/produtos/blusa-regata-feminino-decote-quadrado-alca-grossa-casual.html,https://http2.mlstatic.com/D_Q_NP_2X_872646-MLB85358320852_062025-AB-blusa-regata-feminino-decote-quadrado-alca-grossa-casual.webp,21 BRL,in stock,new,
combo-2-camera-externa-a-prova-dagua-wifi-icsee-a28b-4k-uhd-,Combo 2 Câmera Externa À Prova Dágua Wifi Icsee A28b 4k Uhd App Icsee,"Um dos produtos mais vendidos da categoria no Mercado Livre, com nota 4.7/5 e +5mil vendidos.",https://destakalex.github.io/ofertas-mercadolivre/produtos/combo-2-camera-externa-a-prova-dagua-wifi-icsee-a28b-4k-uhd-.html,https://http2.mlstatic.com/D_Q_NP_2X_813094-MLB93119952539_092025-AB.webp,244 BRL,in stock,new,
sorveteira-ninja-creami-7-programas-auto-iq-tecnologia-cream,"Sorveteira, Ninja, Creami, 7 Programas Auto-iQ, Tecnologia Creamify, 127 v","Um dos produtos mais vendidos da categoria no Mercado Livre, com nota 4.9/5 e +1000 vendidos.",https://destakalex.github.io/ofertas-mercadolivre/produtos/sorveteira-ninja-creami-7-programas-auto-iq-tecnologia-cream.html,https://http2.mlstatic.com/D_Q_NP_2X_829501-MLA110419607869_042026-AB.webp,1773 BRL,in stock,new,
